point_id,stratum,stratum_name,row,col,x,y,lon,lat,model_canopy
159,4,both_canopy_other,998,6010,1266318.7472808722,303539.9319853422,-122.3562392,47.8219953,0
160,4,both_canopy_other,2976,10827,1275952.7472808722,299583.9319853422,-122.3167199,47.811668,0
161,4,both_canopy_other,4543,2905,1260108.7472808722,296449.9319853422,-122.3809323,47.8022226,1
162,4,both_canopy_other,1580,6173,1266644.7472808722,302375.9319853422,-122.3548188,47.8188225,1
163,4,both_canopy_other,1490,10348,1274994.7472808722,302555.9319853422,-122.3208518,47.8197634,1
164,4,both_canopy_other,6098,1700,1257698.7472808722,293339.9319853422,-122.3904806,47.7935651,1
165,4,both_canopy_other,6626,5367,1265032.7472808722,292283.9319853422,-122.3605638,47.7910736,1
166,4,both_canopy_other,216,5418,1265134.7472808722,305103.9319853422,-122.3611843,47.8262177,1
167,4,both_canopy_other,1855,6608,1267514.7472808722,301825.9319853422,-122.3512341,47.8173621,0
168,4,both_canopy_other,5088,3593,1261484.7472808722,295359.9319853422,-122.3752455,47.7993107,1
169,4,both_canopy_other,913,6147,1266592.7472808722,303709.9319853422,-122.3551378,47.8224761,1
170,4,both_canopy_other,5736,9649,1273596.7472808722,294063.9319853422,-122.3258708,47.796413,1
171,5,both_noncanopy,294,9059,1272416.7472808722,304947.9319853422,-122.3315329,47.8261826,0
172,5,both_noncanopy,2207,4138,1262574.7472808722,301121.9319853422,-122.3712799,47.8151636,0
173,5,both_noncanopy,6783,6323,1266944.7472808722,291969.9319853422,-122.3527617,47.7903167,0
174,5,both_noncanopy,5281,8865,1272028.7472808722,294973.9319853422,-122.3323213,47.7988238,0
175,5,both_noncanopy,5063,10610,1275518.7472808722,295409.9319853422,-122.3181581,47.8002043,0
176,5,both_noncanopy,7401,9660,1273618.7472808722,290733.9319853422,-122.3255187,47.7872869,0
177,5,both_noncanopy,4288,9002,1272302.7472808722,296959.9319853422,-122.331364,47.8042819,0
178,5,both_noncanopy,5517,4146,1262590.7472808722,294501.9319853422,-122.3706765,47.7970196,0
179,5,both_noncanopy,1056,8358,1271014.7472808722,303423.9319853422,-122.3371181,47.8219305,0
180,5,both_noncanopy,7600,9429,1273156.7472808722,290335.9319853422,-122.3273662,47.7861714,0
181,5,both_noncanopy,4717,7977,1270252.7472808722,296101.9319853422,-122.3396359,47.8018205,0
182,5,both_noncanopy,2748,5362,1265022.7472808722,300039.9319853422,-122.3612309,47.8123316,0
183,5,both_noncanopy,3477,8660,1271618.7472808722,298581.9319853422,-122.3342755,47.8086912,0
184,5,both_noncanopy,2996,5497,1265292.7472808722,299543.9319853422,-122.3600922,47.8109868,0
185,5,both_noncanopy,3924,3367,1261032.7472808722,297687.9319853422,-122.3772743,47.8056667,0
186,5,both_noncanopy,1065,5033,1264364.7472808722,303405.9319853422,-122.3641808,47.8215217,0
187,5,both_noncanopy,5319,6354,1267006.7472808722,294897.9319853422,-122.3527447,47.7983455,0
188,5,both_noncanopy,2421,9554,1273406.7472808722,300693.9319853422,-122.3271673,47.8145754,0
189,5,both_noncanopy,4829,7089,1268476.7472808722,295877.9319853422,-122.3468432,47.801111,0
190,5,both_noncanopy,1512,4734,1263766.7472808722,302511.9319853422,-122.366542,47.8190387,0
191,5,both_noncanopy,1794,6045,1266388.7472808722,301947.9319853422,-122.3558261,47.8176355,0
192,5,both_noncanopy,2608,3646,1261590.7472808722,300319.9319853422,-122.3752186,47.8129114,0
193,5,both_noncanopy,7422,5942,1266182.7472808722,290691.9319853422,-122.3557582,47.7867725,0
194,5,both_noncanopy,7829,9327,1272952.7472808722,289877.9319853422,-122.3281597,47.7849052,0
195,5,both_noncanopy,7723,9656,1273610.7472808722,290089.9319853422,-122.3255004,47.7855213,0
196,5,both_noncanopy,1846,9063,1272424.7472808722,301843.9319853422,-122.3312544,47.8176752,0
197,5,both_noncanopy,7677,2224,1258746.7472808722,290181.9319853422,-122.3859586,47.7849674,0
198,5,both_noncanopy,4899,6555,1267408.7472808722,295737.9319853422,-122.3511768,47.8006696,0
199,5,both_noncanopy,4852,10542,1275382.7472808722,295831.9319853422,-122.3187445,47.8013538,0
