point_id,label,crown_idx,crown_id,offcrown,off_grid,terminal_absent_epochs,terminal_laundered,terminal_laundered_posterior,terminal_censored,laundered_crown_obs1,laundered_crown_obs0,laundered_crown_missing,raw_trajectory,viterbi_trajectory,posterior_trajectory,crown_obs,n_epochs_touched,impossible_triples_raw,impossible_triples_healed,impossible_triples_posterior,healed_to_canopy,healed_to_ignore
1159,nochange,0,,1,0,0,0,0,0,0,0,0,.C..C.......,,,,0,0,0,0,0,0
116,nochange,4019,EDM_0004018,0,0,0,0,0,0,0,0,0,CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCC,0,0,0,0,0,0
1160,nochange,0,,1,0,0,0,0,0,0,0,0,.C...C......,,,,0,0,0,0,0,0
1161,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1162,nochange,0,,1,0,0,0,0,0,0,0,0,CCCCCCCCCCCC,,,,0,0,0,0,0,0
1163,nochange,0,,1,0,0,0,0,0,0,0,0,C..........C,,,,0,0,0,0,0,0
1164,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1165,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1166,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1167,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1168,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1169,nochange,0,,1,0,0,0,0,0,0,0,0,.......x....,,,,0,0,0,0,0,0
117,nochange,0,,1,0,0,0,0,0,0,0,0,CCCCC.......,,,,0,0,0,0,0,0
1170,nochange,0,,1,0,0,0,0,0,0,0,0,.C.........C,,,,0,0,0,0,0,0
1171,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1172,nochange,0,,1,0,0,0,0,0,0,0,0,C..........C,,,,0,0,0,0,0,0
1173,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1174,nochange,0,,1,0,0,0,0,0,0,0,0,.CCC..C.C..C,,,,0,1,0,0,0,0
1175,nochange,0,,1,0,0,0,0,0,0,0,0,CCCCCCC..C.C,,,,0,1,0,0,0,0
1177,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1178,nochange,0,,1,0,0,0,0,0,0,0,0,...C.CCC....,,,,0,1,0,0,0,0
1179,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
118,nochange,0,,1,0,0,0,0,0,0,0,0,CCCCCC...C.C,,,,0,1,0,0,0,0
1180,nochange,102316,EDM_0102315,0,0,1,1,1,0,0,1,0,....C.CCCCC.,CCCCCCCCCCCC,CCCCCCCCCCCC,C.xxC.CCCCC.,6,1,0,0,6,0
1181,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1182,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1183,nochange,0,,1,0,0,0,0,0,0,0,0,...C..C.C...,,,,0,1,0,0,0,0
1184,nochange,0,,1,0,0,0,0,0,0,0,0,....C.......,,,,0,0,0,0,0,0
1185,nochange,137863,EDM_0137862,0,0,0,0,0,0,0,0,0,CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCC,xCCCCCCCCCCC,0,0,0,0,0,0
1186,nochange,0,,1,0,0,0,0,0,0,0,0,...........C,,,,0,0,0,0,0,0
1187,nochange,24627,EDM_0024626,0,0,0,0,0,0,0,0,0,.C.CC.CCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCC,3,2,0,0,3,0
1188,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1189,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
