unit_id,blind_order,is_control,stratum_id,stratum_name,tier,gap_left_yr,gap_right_yr,gap_years,gap_bucket,size_class,bracket_years,epoch_prev,epoch_filled,epoch_next,x,y,epsg,row,col,n_cells,area_m2,equiv_diam_m,control_flank,adjudicable,adjudicator,adjudicator_dyear,adjudicate,present_in_filled_epoch,notes
F2022_01935_01821,128,0,34,REVIEW|1-2|8-10,REVIEW,1,1,1,1-2,8-10,2,2021,2022,2023,548731.0,5297047.0,26910,1935,1821,16,64.0,9.03,,0,,,0,,
C2017_02390_01618,129,1,33,REVIEW|1-2|6-8,REVIEW,1,2,2,1-2,6-8,3,2016,2017,2019,548325.0,5296137.0,26910,2390,1618,8,32.0,6.38,next,1,lidar_chm2_2016_50cm,1,1,,
C2019_01817_02170,130,1,33,REVIEW|1-2|6-8,REVIEW,2,1,2,1-2,6-8,3,2017,2019,2020,549429.0,5297283.0,26910,1817,2170,9,36.0,6.77,prev,0,,,0,,
F2023_01098_02255,131,0,35,REVIEW|1-2|10-14,REVIEW,1,1,1,1-2,10-14,2,2022,2023,2024,549599.0,5298721.0,26910,1098,2255,22,88.0,10.59,,0,,,0,,
F2017_03317_01444,132,0,34,REVIEW|1-2|8-10,REVIEW,1,2,2,1-2,8-10,3,2016,2017,2019,547977.0,5294283.0,26910,3317,1444,13,52.0,8.14,,1,lidar_chm2_2016_50cm,1,1,,
F2022_03667_01452,133,0,34,REVIEW|1-2|8-10,REVIEW,1,1,1,1-2,8-10,2,2021,2022,2023,547993.0,5293583.0,26910,3667,1452,19,76.0,9.84,,0,,,0,,
C2019_02245_01665,134,1,35,REVIEW|1-2|10-14,REVIEW,2,1,2,1-2,10-14,3,2017,2019,2020,548419.0,5296427.0,26910,2245,1665,25,100.0,11.28,prev,0,,,0,,
C2016_02084_01826,135,1,32,REVIEW|1-2|5-6,REVIEW,1,1,1,1-2,5-6,2,2015,2016,2017,548741.0,5296749.0,26910,2084,1826,7,28.0,5.97,next,1,lidar_chm2_2016_50cm,0,1,,
F2022_03184_02078,136,0,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2021,2022,2023,549245.0,5294549.0,26910,3184,2078,12,48.0,7.82,,0,,,0,,
F2020_00921_02477,137,0,32,REVIEW|1-2|5-6,REVIEW,1,1,1,1-2,5-6,2,2019,2020,2021,550043.0,5299075.0,26910,921,2477,7,28.0,5.97,,0,,,0,,
F2020_03587_01401,138,0,36,REVIEW|1-2|14+,REVIEW,1,1,1,1-2,14+,2,2019,2020,2021,547891.0,5293743.0,26910,3587,1401,50,200.0,15.96,,0,,,0,,
F2020_02935_01435,139,0,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2019,2020,2021,547959.0,5295047.0,26910,2935,1435,12,48.0,7.82,,0,,,0,,
F2020_03206_02524,140,0,35,REVIEW|1-2|10-14,REVIEW,1,1,1,1-2,10-14,2,2019,2020,2021,550137.0,5294505.0,26910,3206,2524,25,100.0,11.28,,0,,,0,,
C2017_04464_01471,141,1,34,REVIEW|1-2|8-10,REVIEW,1,2,2,1-2,8-10,3,2016,2017,2019,548031.0,5291989.0,26910,4464,1471,17,68.0,9.3,prev,1,lidar_chm2_2016_50cm,1,0,,
F2016_03415_02376,142,0,35,REVIEW|1-2|10-14,REVIEW,1,1,1,1-2,10-14,2,2015,2016,2017,549841.0,5294087.0,26910,3415,2376,22,88.0,10.59,,1,lidar_chm2_2016_50cm,0,1,,
C2016_01578_01819,143,1,35,REVIEW|1-2|10-14,REVIEW,1,1,1,1-2,10-14,2,2015,2016,2017,548727.0,5297761.0,26910,1578,1819,27,108.0,11.73,prev,1,lidar_chm2_2016_50cm,0,1,,
F2022_02908_01768,144,0,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2021,2022,2023,548625.0,5295101.0,26910,2908,1768,9,36.0,6.77,,0,,,0,,
C2023_02256_01182,145,1,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2022,2023,2024,547453.0,5296405.0,26910,2256,1182,8,32.0,6.38,next,0,,,0,,
C2019_02307_01824,146,1,34,REVIEW|1-2|8-10,REVIEW,2,1,2,1-2,8-10,3,2017,2019,2020,548737.0,5296303.0,26910,2307,1824,14,56.0,8.44,prev,0,,,0,,
C2020_04227_01850,147,1,36,REVIEW|1-2|14+,REVIEW,1,1,1,1-2,14+,2,2019,2020,2021,548789.0,5292463.0,26910,4227,1850,115,460.0,24.2,next,0,,,0,,
C2020_03806_02356,148,1,36,REVIEW|1-2|14+,REVIEW,1,1,1,1-2,14+,2,2019,2020,2021,549801.0,5293305.0,26910,3806,2356,73,292.0,19.28,next,0,,,0,,
C2019_04343_02180,149,1,34,REVIEW|1-2|8-10,REVIEW,2,1,2,1-2,8-10,3,2017,2019,2020,549449.0,5292231.0,26910,4343,2180,16,64.0,9.03,prev,0,,,0,,
F2020_00445_02339,150,0,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2019,2020,2021,549767.0,5300027.0,26910,445,2339,9,36.0,6.77,,0,,,0,,
C2020_03732_01504,151,1,35,REVIEW|1-2|10-14,REVIEW,1,1,1,1-2,10-14,2,2019,2020,2021,548097.0,5293453.0,26910,3732,1504,25,100.0,11.28,next,0,,,0,,
C2022_02544_02064,152,1,32,REVIEW|1-2|5-6,REVIEW,1,1,1,1-2,5-6,2,2021,2022,2023,549217.0,5295829.0,26910,2544,2064,7,28.0,5.97,prev,0,,,0,,
