unit_id,blind_order,is_control,stratum_id,stratum_name,tier,gap_left_yr,gap_right_yr,gap_years,gap_bucket,size_class,bracket_years,epoch_prev,epoch_filled,epoch_next,x,y,epsg,row,col,n_cells,area_m2,equiv_diam_m,control_flank,adjudicable,adjudicator,adjudicator_dyear,adjudicate,present_in_filled_epoch,notes
F2016_04190_00953,67,0,70,BLIND|3|8-10,BLIND,1,3,3,3,8-10,4,2015,2016,2019,546995.0,5292537.0,26910,4190,953,13,52.0,8.14,,1,lidar_chm2_2016_50cm,0,1,,
F2011s_02403_01524,68,0,6,HEAL|1-2|6-8,HEAL,2,2,2,1-2,6-8,4,2009,2011s,2013,548137.0,5296111.0,26910,2403,1524,11,44.0,7.48,,0,,,0,,
F2019_02380_01200,69,0,69,BLIND|3|6-8,BLIND,3,2,3,3,6-8,5,2016,2019,2021,547489.0,5296157.0,26910,2380,1200,8,32.0,6.38,,0,,,0,,
C2013_02271_02172,70,1,7,HEAL|1-2|8-10,HEAL,2,2,2,1-2,8-10,4,2011s,2013,2015,549433.0,5296375.0,26910,2271,2172,14,56.0,8.44,next,0,,,0,,
F2016_02958_00575,71,0,68,BLIND|3|5-6,BLIND,1,3,3,3,5-6,4,2015,2016,2019,546239.0,5295001.0,26910,2958,575,7,28.0,5.97,,1,lidar_chm2_2016_50cm,0,0,,
F2016_04440_01677,72,0,70,BLIND|3|8-10,BLIND,1,3,3,3,8-10,4,2015,2016,2019,548443.0,5292037.0,26910,4440,1677,17,68.0,9.3,,1,lidar_chm2_2016_50cm,0,0,,
C2021_03334_01804,73,1,70,BLIND|3|8-10,BLIND,2,3,3,3,8-10,5,2019,2021,2024,548697.0,5294249.0,26910,3334,1804,15,60.0,8.74,prev,0,,,0,,
F2019_01948_02159,74,0,69,BLIND|3|6-8,BLIND,3,2,3,3,6-8,5,2016,2019,2021,549407.0,5297021.0,26910,1948,2159,10,40.0,7.14,,0,,,0,,
F2016_03072_00925,75,0,70,BLIND|3|8-10,BLIND,1,3,3,3,8-10,4,2015,2016,2019,546939.0,5294773.0,26910,3072,925,16,64.0,9.03,,1,lidar_chm2_2016_50cm,0,0,,
C2021_03748_01262,76,1,69,BLIND|3|6-8,BLIND,2,3,3,3,6-8,5,2019,2021,2024,547613.0,5293421.0,26910,3748,1262,9,36.0,6.77,prev,0,,,0,,
C2015_01470_01887,77,1,5,HEAL|1-2|5-6,HEAL,2,1,2,1-2,5-6,3,2013,2015,2016,548863.0,5297977.0,26910,1470,1887,7,28.0,5.97,prev,1,lidar_chm2_2016_50cm,-1,1,,
C2016_01988_02068,78,1,69,BLIND|3|6-8,BLIND,1,3,3,3,6-8,4,2015,2016,2019,549225.0,5296941.0,26910,1988,2068,8,32.0,6.38,next,1,lidar_chm2_2016_50cm,0,1,,
F2015_03371_01028,79,0,9,HEAL|1-2|14+,HEAL,2,1,2,1-2,14+,3,2013,2015,2016,547145.0,5294175.0,26910,3371,1028,183,732.0,30.53,,1,lidar_chm2_2016_50cm,-1,1,,
F2015_04478_00968,80,0,7,HEAL|1-2|8-10,HEAL,2,1,2,1-2,8-10,3,2013,2015,2016,547025.0,5291961.0,26910,4478,968,15,60.0,8.74,,1,lidar_chm2_2016_50cm,-1,1,,
C2015_02374_02069,81,1,6,HEAL|1-2|6-8,HEAL,2,1,2,1-2,6-8,3,2013,2015,2016,549227.0,5296169.0,26910,2374,2069,8,32.0,6.38,next,1,lidar_chm2_2016_50cm,-1,0,,
C2016_01445_02082,82,1,71,BLIND|3|10-14,BLIND,1,3,3,3,10-14,4,2015,2016,2019,549253.0,5298027.0,26910,1445,2082,38,152.0,13.91,prev,1,lidar_chm2_2016_50cm,0,1,,
C2019_03463_01300,83,1,71,BLIND|3|10-14,BLIND,3,2,3,3,10-14,5,2016,2019,2021,547689.0,5293991.0,26910,3463,1300,24,96.0,11.06,next,0,,,0,,
F2019_04364_01375,84,0,69,BLIND|3|6-8,BLIND,3,2,3,3,6-8,5,2016,2019,2021,547839.0,5292189.0,26910,4364,1375,10,40.0,7.14,,0,,,0,,
