point_id,label,stratum,stratum_name,estimator_stratum,x,y,verify_overturned
205,nochange,1,cand_change,1,549045.0,5298569.0,0
206,nochange,1,cand_change,1,546327.0,5295489.0,0
207,nochange,1,cand_change,1,549605.0,5299583.0,0
208,nochange,1,cand_change,1,547539.0,5297067.0,0
209,nochange,1,cand_change,1,550445.0,5300607.0,0
21,nochange,1,cand_change,1,549815.0,5293323.0,0
210,nochange,1,cand_change,1,545957.0,5294875.0,0
211,nochange,1,cand_change,1,546977.0,5295863.0,0
212,nochange,1,cand_change,1,550293.0,5299113.0,0
213,nochange,1,cand_change,1,547445.0,5292675.0,0
214,nochange,1,cand_change,1,549891.0,5299389.0,0
215,nochange,1,cand_change,1,546331.0,5295401.0,0
216,nochange,1,cand_change,1,548887.0,5295655.0,0
217,nochange,1,cand_change,1,546855.0,5292241.0,0
218,nochange,1,cand_change,1,548003.0,5295453.0,0
219,nochange,1,cand_change,1,547053.0,5292359.0,0
22,nochange,1,cand_change,1,549401.0,5291945.0,0
220,loss,1,cand_change,1,548271.0,5297011.0,0
222,nochange,1,cand_change,1,549849.0,5300661.0,0
223,nochange,1,cand_change,1,548679.0,5297147.0,0
224,nochange,1,cand_change,1,549531.0,5295399.0,0
225,nochange,1,cand_change,1,549935.0,5300209.0,0
226,nochange,1,cand_change,1,550147.0,5300887.0,0
227,nochange,1,cand_change,1,549273.0,5298621.0,0
228,nochange,1,cand_change,1,547021.0,5291933.0,0
229,nochange,1,cand_change,1,548501.0,5292265.0,0
23,nochange,1,cand_change,1,550077.0,5299179.0,0
230,nochange,1,cand_change,1,550269.0,5298901.0,0
231,nochange,1,cand_change,1,549421.0,5294329.0,0
232,nochange,1,cand_change,1,548651.0,5291923.0,0
233,nochange,1,cand_change,1,548579.0,5298839.0,0
234,nochange,1,cand_change,1,547479.0,5295401.0,0
235,nochange,1,cand_change,1,547479.0,5295529.0,0
236,nochange,1,cand_change,1,548213.0,5295083.0,0
237,nochange,1,cand_change,1,549709.0,5294969.0,0
238,nochange,1,cand_change,1,546749.0,5294017.0,0
239,nochange,1,cand_change,1,547181.0,5294337.0,0
24,nochange,1,cand_change,1,548969.0,5295529.0,0
240,nochange,1,cand_change,1,548191.0,5298327.0,0
241,nochange,1,cand_change,1,549533.0,5298845.0,0
242,nochange,1,cand_change,1,549813.0,5298587.0,0
243,nochange,1,cand_change,1,548761.0,5297891.0,0
244,nochange,1,cand_change,1,549197.0,5292263.0,0
245,nochange,1,cand_change,1,547085.0,5294375.0,0
246,nochange,1,cand_change,1,549729.0,5299599.0,0
248,nochange,1,cand_change,1,548571.0,5292209.0,0
249,nochange,1,cand_change,1,549939.0,5299515.0,0
25,nochange,1,cand_change,1,548997.0,5295103.0,0
250,loss,1,cand_change,1,548417.0,5294791.0,0
251,nochange,1,cand_change,1,549625.0,5297951.0,0
252,nochange,1,cand_change,1,550467.0,5300759.0,0
253,nochange,1,cand_change,1,548149.0,5296893.0,0
254,nochange,1,cand_change,1,548309.0,5292849.0,0
255,nochange,1,cand_change,1,547229.0,5293509.0,0
256,nochange,1,cand_change,1,549405.0,5297781.0,0
257,nochange,1,cand_change,1,548159.0,5295421.0,0
258,nochange,1,cand_change,1,548259.0,5295033.0,0
259,nochange,1,cand_change,1,547673.0,5297321.0,0
26,nochange,1,cand_change,1,550295.0,5298935.0,0
260,nochange,1,cand_change,1,548443.0,5298331.0,0
261,nochange,1,cand_change,1,548973.0,5297189.0,0
262,nochange,1,cand_change,1,549885.0,5298687.0,0
264,nochange,1,cand_change,1,546343.0,5295031.0,0
265,nochange,1,cand_change,1,550005.0,5293967.0,0
266,nochange,1,cand_change,1,546433.0,5295869.0,0
267,nochange,1,cand_change,1,549887.0,5298559.0,0
268,nochange,1,cand_change,1,549603.0,5299061.0,0
269,nochange,1,cand_change,1,549321.0,5294983.0,0
27,nochange,1,cand_change,1,550055.0,5300485.0,0
270,nochange,1,cand_change,1,549321.0,5297927.0,0
271,nochange,1,cand_change,1,547285.0,5297137.0,0
272,nochange,1,cand_change,1,548971.0,5294937.0,0
273,nochange,1,cand_change,1,546647.0,5292291.0,0
274,nochange,1,cand_change,1,546885.0,5295423.0,0
275,nochange,1,cand_change,1,548719.0,5294955.0,0
276,nochange,1,cand_change,1,547053.0,5292981.0,0
278,nochange,1,cand_change,1,549117.0,5295881.0,0
279,loss,1,cand_change,1,548479.0,5294367.0,0
28,loss,1,cand_change,1,548355.0,5295751.0,0
280,nochange,1,cand_change,1,548247.0,5292371.0,0
281,nochange,1,cand_change,1,549171.0,5296101.0,0
282,nochange,1,cand_change,1,546457.0,5295025.0,0
283,nochange,1,cand_change,1,548891.0,5298607.0,0
284,nochange,1,cand_change,1,547865.0,5293029.0,0
285,nochange,1,cand_change,1,548943.0,5294949.0,0
286,nochange,1,cand_change,1,545687.0,5294721.0,0
287,nochange,1,cand_change,1,550179.0,5300369.0,0
288,nochange,1,cand_change,1,548125.0,5293683.0,0
289,nochange,1,cand_change,1,548937.0,5298059.0,0
29,nochange,1,cand_change,1,547289.0,5293435.0,0
290,loss,1,cand_change,1,548245.0,5295399.0,0
291,nochange,1,cand_change,1,549819.0,5299695.0,0
292,loss,1,cand_change,1,550033.0,5294555.0,0
294,nochange,1,cand_change,1,549753.0,5298805.0,0
295,nochange,1,cand_change,1,550015.0,5299499.0,0
296,nochange,1,cand_change,1,548901.0,5292213.0,0
297,nochange,1,cand_change,1,547799.0,5295331.0,0
298,nochange,1,cand_change,1,548953.0,5295333.0,0
299,nochange,1,cand_change,1,546199.0,5295285.0,0
3,nochange,1,cand_change,1,549983.0,5294973.0,0
30,nochange,1,cand_change,1,549821.0,5292301.0,0
300,nochange,1,cand_change,1,549201.0,5297283.0,0
301,nochange,1,cand_change,1,548665.0,5296967.0,0
302,nochange,1,cand_change,1,548219.0,5295277.0,0
303,nochange,1,cand_change,1,549701.0,5296871.0,0
304,loss,1,cand_change,1,549757.0,5298877.0,0
305,nochange,1,cand_change,1,548239.0,5295313.0,0
306,nochange,1,cand_change,1,548573.0,5297359.0,0
307,nochange,1,cand_change,1,549927.0,5292109.0,0
308,nochange,1,cand_change,1,547437.0,5295553.0,0
309,nochange,1,cand_change,1,549299.0,5294819.0,0
31,nochange,1,cand_change,1,549667.0,5294319.0,0
310,nochange,1,cand_change,1,548637.0,5294407.0,0
