point_id,label,terminal_absent_epochs,terminal_laundered,terminal_censored,raw_trajectory,healed_trajectory,n_epochs_touched,epochs_touched,tiers_touched,impossible_triples_raw,impossible_triples_healed,healed_to_canopy,healed_to_ignore
169,nochange,8,0,0,........,........,0,,,0,0,0,0
17,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
170,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
171,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
172,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
173,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
174,nochange,8,0,0,........,........,0,,,0,0,0,0
175,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
176,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
177,nochange,8,0,0,........,........,0,,,0,0,0,0
178,nochange,8,0,0,........,........,0,,,0,0,0,0
179,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
18,nochange,0,0,0,..C.CCCC,..CCCCCC,1,2015,HEAL,1,0,1,0
180,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
181,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
182,nochange,0,0,0,CCC.CCCC,CCCCCCCC,1,2015,HEAL,1,0,1,0
183,nochange,8,0,0,........,........,0,,,0,0,0,0
184,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
185,nochange,8,0,0,........,........,0,,,0,0,0,0
186,nochange,0,0,0,CCC.CC.C,CCCCCCxC,2,"2015,2021","BLIND,HEAL",2,0,1,1
187,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
188,nochange,8,0,0,........,........,0,,,0,0,0,0
189,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
19,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
190,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
191,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
192,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
193,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
194,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
195,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
197,gain,0,0,0,CCCCCC.C,CCCCCCxC,1,2021,BLIND,1,0,0,1
198,loss,1,0,0,CCCCCCC.,CCCCCCC.,0,,,0,0,0,0
199,nochange,8,0,0,........,........,0,,,0,0,0,0
2,nochange,8,0,0,........,........,0,,,0,0,0,0
20,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
200,nochange,4,0,0,CCCC....,CCCC....,0,,,0,0,0,0
201,nochange,1,0,0,CC..C.C.,CC..CxC.,1,2019,BLIND,1,0,0,1
202,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
203,nochange,8,0,0,........,........,0,,,0,0,0,0
204,loss,3,0,0,C.C.C...,C.CCC...,1,2015,HEAL,2,1,1,0
205,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
206,nochange,8,0,0,........,........,0,,,0,0,0,0
207,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
208,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
209,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
21,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
210,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
211,nochange,8,0,0,........,........,0,,,0,0,0,0
212,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
213,nochange,0,0,0,CC.C.CCC,CCCC.CCC,1,2013,HEAL,2,1,1,0
214,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
215,nochange,8,0,0,........,........,0,,,0,0,0,0
216,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
217,nochange,3,0,0,CCCCC...,CCCCC...,0,,,0,0,0,0
218,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
219,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
