ref_id,resolver_state,resolver_doi,resolver_reason,splink_top_candidate,splink_top_doi,splink_match_weight,splink_match_probability,agrees_with_resolver
Burnicki_2011_spatio-temporal-errors-land-cover::b12,unresolved,,"best=crossref:0.99:10.1201/b12612-12; skipped=semanticscholar,arxiv (rate-limited)",cr::10.1201/b12612-12,10.1201/b12612-12,3.001864408947751,0.8890164602945707,False
Burnicki_2011_spatio-temporal-errors-land-cover::b13,resolved,10.2307/2532039,via=crossref; ratio=1.00; year=1989,cr::10.2307/2532039,10.2307/2532039,28.069103936646627,0.999999996448942,True
Burnicki_2011_spatio-temporal-errors-land-cover::b14,unresolved,,"best=crossref:0.52:10.3403/00108535; skipped=semanticscholar,arxiv (rate-limited)",cr::10.1016/s0049-237x(08)x7033-8,10.1016/s0049-237x(08)x7033-8,-9.052264642117017,0.0018800938600636121,False
Burnicki_2011_spatio-temporal-errors-land-cover::b15,unresolved,,"best=crossref:0.67:10.1201/b19355-47; skipped=semanticscholar,arxiv (rate-limited)",cr::10.2172/108147,10.2172/108147,-9.052264642117017,0.0018800938600636121,False
Burnicki_2011_spatio-temporal-errors-land-cover::b16,resolved,10.1201/9780203497586.ch1,via=crossref; ratio=1.00; year=2004,cr::10.1201/9780203497586.ch1,10.1201/9780203497586.ch1,19.390021520253335,0.9999985444696227,True
Burnicki_2011_spatio-temporal-errors-land-cover::b17,unresolved,,"best=crossref:0.38:10.1201/9781420055139-12; skipped=semanticscholar,arxiv (rate-limited)",cr::10.1201/9781420048568,10.1201/9781420048568,6.359346588556531,0.9879666045577856,False
Burnicki_2011_spatio-temporal-errors-land-cover::b18,unresolved,,"best=crossref:0.62:10.5962/bhl.title.122814; skipped=semanticscholar,arxiv (rate-limited)",cr::10.1515/9780691218632-054,10.1515/9780691218632-054,-9.052264642117017,0.0018800938600636121,False
Burnicki_2011_spatio-temporal-errors-land-cover::b19,unresolved,,"best=crossref:0.97:10.1073/pnas.182560099; skipped=semanticscholar,arxiv (rate-limited)",cr::10.1073/pnas.182560099,10.1073/pnas.182560099,15.197580283438878,0.9999733890170925,False
Burnicki_2011_spatio-temporal-errors-land-cover::b20,resolved,10.1007/s10980-006-9056-4,via=crossref; ratio=1.00; year=2006,cr::10.1007/s10980-006-9056-4,10.1007/s10980-006-9056-4,22.8832996173323,0.9999998707470812,True
Burnicki_2011_spatio-temporal-errors-land-cover::b21,resolved,10.1126/science.1118160,via=crossref; ratio=1.00; year=2005,cr::10.1126/science.1118160,10.1126/science.1118160,31.23902893808894,0.999999999605438,True
Burnicki_2011_spatio-temporal-errors-land-cover::b22,unresolved,,"best=crossref:0.79:10.1016/s0034-4257(01)00295-4; skipped=semanticscholar,arxiv (rate-limited)",cr::10.1016/s0034-4257(01)00295-4,10.1016/s0034-4257(01)00295-4,19.445799317406916,0.9999985996696305,False
Burnicki_2011_spatio-temporal-errors-land-cover::b23,unresolved,,"best=crossref:1.00:10.2307/214811; skipped=semanticscholar,arxiv (rate-limited)",cr::10.2307/214811,10.2307/214811,-2.8746717103304924,0.11998517176758718,False
Burnicki_2011_spatio-temporal-errors-land-cover::b24,resolved,10.1016/b978-0-08-042432-3.50011-2,via=crossref; ratio=1.00; year=1995,cr::10.1016/b978-0-08-042432-3.50011-2,10.1016/b978-0-08-042432-3.50011-2,19.84945313889063,0.9999989414320327,True
